-1832,-4034,7237,-5539,17869,-11947
-5463,-5202,11130,-9645,24590,-12975
-8135,-6233,18140,-13408,28278,-14461
-12590,-7328,28320,-16046,28165,-15412
-17992,-5260,32767,-15903,26512,-18835
-23125,3788,32767,-18159,27997,-29745
-28054,8304,32767,-18916,20526,-32768
-24487,13026,32767,-16120,3211,-32768
-10818,15848,29607,-14723,-6233,-32768
-6096,14965,21900,-10519,-7538,-32051
-6777,15387,15448,-6379,-11879,-28364
-1653,15250,9730,-5465,-17098,-24134
3889,13780,5144,-5776,-19478,-17771
7646,11545,1395,-4778,-17954,-10299
12280,9340,379,-3269,-8662,-2114
8131,6745,844,-1230,4543,4850
-278,6191,2064,858,8166,9697
-1490,5313,4673,2401,6865,13762
2230,5853,8356,3089,7718,18745
2513,7303,11960,2879,12183,24374
-642,8140,16044,1631,13907,30472
-3650,7243,21250,868,13343,32767
-7316,6587,29572,796,12885,32767
-14809,11935,32767,-2423,12250,32767
-19422,12360,32767,-12339,10235,32714
-20579,5808,32767,-20875,9484,31309
-26933,2049,32669,-26252,1651,29545
-29780,1386,26225,-31490,-11456,24169
-24041,-627,16829,-32768,-15600,18976
-26966,-2616,9551,-32768,-16321,14203
-16793,-5188,-5658,-27846,-32768,-1894
-9671,-8591,-5348,-21265,-28913,-3938
-5926,-8940,-3384,-14143,-22409,-5380
-2754,-8126,-1660,-10237,-18380,-5850
728,-8807,-594,-7228,-15913,-6516
4227,-9738,1640,-3950,-13669,-6116
6444,-9136,4232,-1296,-11358,-3194
7673,-8043,6201,-857,-7803,329
6939,-8212,7318,-1193,-3032,2379
6191,-8818,8692,-1154,1709,4069
4138,-10280,10875,-1036,5020,5745
1457,-11842,13443,-817,5378,7252
-475,-11647,15923,-819,3431,7584
-414,-12705,17008,-1931,1488,5877
1862,-16877,16658,-2036,2086,5026
35,-17905,16593,-179,2799,4361
-3967,-14778,15427,408,-275,1691
-3422,-12021,13632,-324,-4744,-2053
677,-10374,11648,-1129,-5965,-4122
2846,-9440,9577,-1454,-4814,-4572
3883,-9219,8669,-1300,-3415,-3889
