-3444,11067,-4773,73,-23472,-32768
4388,9915,-5160,-2456,-18517,-32768
8314,7430,-3705,-2428,-12286,-32768
7598,2856,-1850,225,-7029,-32487
4390,410,-903,4078,-7005,-29846
3848,1027,194,6934,-11554,-26854
7768,838,2721,9021,-16135,-23737
13596,1704,4701,8100,-14430,-20567
12792,-6857,4886,4203,-10609,-9368
12528,-7006,4095,5698,-15961,-8536
16181,-6249,3576,5475,-18461,-7546
20805,-5693,3934,3098,-14555,-6285
22690,-6405,5252,1337,-6184,-5870
18395,-6456,4257,446,81,-3877
12927,-6547,2574,441,-1577,-2916
12839,-7051,1487,824,-5318,-3714
14913,-6563,1982,1853,-6455,-4446
14101,-6496,1812,2553,-6865,-4466
13306,-5439,1610,3127,-9581,-4316
15394,-4572,1313,2628,-11544,-4171
17957,-4570,919,1784,-10493,-3879
18720,-3836,701,1047,-7851,-2787
17899,-3620,557,644,-6523,-1048
17869,-3866,167,-330,-6491,535
19686,-4285,432,-1472,-4575,1381
19636,-4874,454,-2037,-765,2262
16996,-5045,167,-2884,2295,3217
15338,-5090,165,-3567,3103,3826
14716,-4815,-136,-4071,2888,4457
15497,-5552,-177,-4511,2984,4914
16053,-6170,-71,-4237,3843,5241
16052,-5692,237,-3873,4467,5528
16894,-4261,-356,-4259,5359,6422
17887,-4128,-692,-5707,6526,8707
17848,-5620,-150,-6197,7329,11601
17673,-4660,-880,-6331,8049,14489
18398,-4231,-2441,-6839,8597,18937
19128,-6147,-3531,-5855,12731,24973
17268,-7727,-3567,-2243,19925,29813
12676,-7616,-3986,2203,24474,32588
9792,-8615,-4109,5645,26115,32767
8667,-10717,-3377,9667,26725,32767
6788,-11578,-1921,15062,27972,32767
3690,-11039,451,22086,30011,32767
-23,-7556,120,26486,30785,32767
-4176,-4947,96,29087,29874,32767
-8386,-1855,-468,32428,29389,32767
-12565,-336,-795,32767,26336,32767
-12169,444,-477,32767,18294,32767
-11030,2284,-373,32767,13999,32767
-15189,5551,-823,32767,9375,32397
-12754,6372,818,32767,4828,28142
-11885,5843,3832,32767,11880,25343
-22107,10562,6656,32767,16368,23438
-32127,17645,5224,32767,7590,17865
-32768,15896,7794,30331,-2231,12428
-32768,16279,9428,22732,-14204,4420
-32083,16260,10428,16747,-18137,-7872
-30658,12862,10017,5770,-6873,-23884
-30422,11195,9512,2309,-10218,-28550
-28133,10659,9733,-363,-9543,-32316
-30992,11178,7960,-2169,-6044,-32768
-32768,12556,5622,-3597,-7782,-32768
-32768,13169,3646,-4899,-9555,-32768
-32768,13525,1572,-4853,-8300,-32768
-32768,13195,502,-3071,-7751,-32768
-32768,12687,571,-1296,-5478,-32768
-31720,11424,983,-249,-5408,-32768
-26458,10100,780,782,-7480,-32768
-19250,9446,634,658,-12026,-32768
-11428,8389,724,610,-16600,-32768
-4109,6643,710,940,-17701,-32768
2232,5390,658,1406,-13822,-32768
4922,3559,1465,1831,-8167,-32768
6159,1035,3290,2276,-5212,-32759
6754,-549,4018,3188,-3202,-30454
6856,-1143,4583,4287,-2851,-26584
7731,-1407,5390,5610,-4922,-22918
8172,-2432,4244,5767,-6796,-19380
8426,-3091,4344,6532,-10630,-16102
8695,-3643,4665,7595,-16089,-13366
11351,-2996,4221,8329,-20165,-12609
15986,-2972,4364,7309,-18635,-12770
18691,-4230,4848,5712,-12898,-10894
19131,-4793,5296,5644,-10988,-7614
18534,-4769,5339,4787,-8037,-5884
17908,-4814,3770,3458,-4637,-4863
15448,-5524,3783,2692,-2424,-3139
14129,-5765,4322,2561,-3626,-3169
14702,-5788,3944,2989,-5318,-3149
15405,-5441,3588,3325,-6041,-3046
15452,-4564,3637,3748,-6240,-2875
15696,-3893,3242,3789,-5941,-2301
16035,-3583,2838,3919,-4930,-1363
16273,-3356,2868,4230,-3454,-481
15852,-3856,2848,4367,-1893,342
15312,-4356,2620,4495,-1495,1062
14721,-4180,3067,4515,-2277,1863
15822,-4507,3820,4236,-4316,3548
15928,-4629,3884,4771,-4240,4776
16112,-3988,3664,4873,-3246,6448
17024,-4237,3971,4637,-2303,8262
18136,-4910,4231,4815,-595,10549
18128,-4983,3326,5428,1454,13762
16662,-6606,3876,7305,976,17680
