16956,-7762,-1145,12137,-55,31905
15221,-4194,915,18783,3053,32767
14729,1332,5461,22286,15595,32767
5161,7462,5165,20106,32564,32767
-21162,15560,-545,11208,32767,32767
-32768,14282,1083,4824,27808,32767
-32768,4784,5763,2623,6211,27270
-32768,1355,6130,1844,3312,10604
-32768,1167,7367,1852,-5386,-6471
-32048,1397,9227,-1981,-5481,-19793
-31527,1087,7513,-4971,-5314,-28317
-28707,3658,6327,-8017,-8863,-32768
-21667,3165,4719,-9743,-11453,-32768
-13464,483,3070,-8477,-15243,-32768
-3771,-691,1084,-8415,-19816,-32768
6735,-1847,-439,-7622,-23841,-32768
14293,-4234,-1012,-2226,-25030,-28319
17546,-4028,-675,4886,-19868,-13487
17846,-2523,748,7287,-8861,-2908
14469,-1924,2412,8579,459,5731
9931,-1602,2867,8874,8605,12535
5223,-1836,1603,9956,14508,18834
632,-1050,516,11119,16779,24514
-2333,-1608,2442,10571,16470,29480
-4646,-1965,4609,11589,15688,32722
-6773,-865,5604,13732,16027,32767
-10774,289,10318,19216,14765,32767
-16174,6201,10524,22556,15669,32767
-17918,10658,7518,17398,10598,32767
-13844,11472,6326,11064,6083,32767
-11630,13962,9433,9370,16063,32767
-20586,21237,5685,7772,29073,32767
-26917,21716,114,830,28142,32767
-26243,16180,-1405,-5220,22513,32767
-27201,14628,-1802,-5696,18970,30859
-27156,15488,-1541,-5453,14583,25724
-24610,13176,-1790,-3559,9355,22099
-21776,11502,-550,557,3811,19557
-17492,13060,-27,4517,-1427,18219
-13213,14516,-596,2612,487,14938
-10584,13991,-415,192,4611,11912
-8061,14047,-219,-828,10927,8643
-9051,13295,-1492,-1923,15914,6254
-10928,12856,-1610,-1536,16841,4527
-14300,12902,-1272,152,14732,2952
-15776,13205,-981,1828,8940,794
-13969,12885,-135,2293,3568,-1688
-11922,13083,881,2982,73,-3175
-9864,14052,1982,2426,-1731,-3805
-3595,14564,4265,-2116,-3643,-1904
-3924,15110,1596,-2628,263,-935
-6668,15089,-75,-2327,2368,-58
-9501,14415,-310,-1000,187,293
-10148,13487,-182,551,-4198,189
-8892,13163,-359,2046,-8840,253
-6958,13248,-255,3008,-11683,254
-5303,13731,-256,2972,-12440,261
-4850,13723,-297,2445,-11370,229
-5460,13453,-317,2400,-9978,38
-6031,12902,-223,3068,-9025,-117
-6993,12942,-78,3658,-8479,-166
-6690,13240,-316,3570,-7557,-381
-6393,13394,-241,3307,-3620,-630
-8507,13403,-395,3812,-497,-1177
-12076,14196,316,3770,860,-3144
-15070,14796,506,2797,-1861,-5462
-15996,15585,1437,1432,-5629,-7870
-17421,17466,2716,-741,-8021,-11077
-18728,18824,3230,-2799,-11581,-15577
-19121,18436,4528,-4133,-12407,-21054
-19636,17882,5067,-5323,-11676,-26116
-21384,17860,5250,-6979,-9606,-30538
-23370,17937,5804,-9047,-9093,-32768
-25051,18316,4702,-11189,-8667,-32768
-25570,17712,3953,-12879,-8103,-32768
-25940,14397,4182,-11947,-9024,-32768
-24924,13877,3564,-9426,-11945,-32768
-20857,13677,2810,-10922,-14599,-32768
-15181,10291,2572,-12887,-16779,-32768
-10966,7960,1321,-13312,-20924,-32768
-4813,5312,696,-14007,-25394,-32768
143,2856,-451,-14788,-25706,-32768
4672,-16,-1134,-16208,-22338,-32721
7163,-3339,-1112,-15441,-15057,-28071
7832,-5521,-1151,-11663,-9396,-20794
11196,-7706,-552,-6271,-6458,-13509
12532,-8210,-935,-383,-1260,-4709
12624,-7574,-1175,3136,743,3522
13610,-8677,-27,6203,922,11487
14551,-9428,1725,10498,3370,21974
13904,-8189,4252,16570,10331,32218
12107,-2775,5696,18668,24432,32767
862,7599,3521,14880,32677,32767
-14130,13784,4427,8870,31011,32767
