mean_x,mean_y,mean_z,max_x,max_y,max_z,min_x,min_y,min_z,median_x,median_y,median_z,gradient_x,gradient_y,gradient_z,std_x,std_y,std_z,skew_x,skew_y,skew_z,iqr_x,iqr_y,iqr_z,zero_crossing_counts_x,zero_crossing_counts_y,zero_crossing_counts_z,dominant_frequency_x,dominant_frequency_y,dominant_frequency_z,tag
10.536599999999998,19.61,-4.55,11.645,0.6837000000000001,7.124903258290599,10.52,-0.543555413126594,11.0,0.0,-0.4132,9.33,-10.86,-0.395,0.23840000000000003,3.9016214270479908,4.295,-0.24359572870646465,24.0,0.44,-4.3578,19.61,-19.61,-3.83,-1.2122000000000002,11.439330975192561,20.96,0.23246291179783812,29.0,0.3,1.0
10.7214,19.61,-4.55,12.059999999999999,0.4553999999999999,6.914143189144987,10.52,-0.5346022362113587,10.0,0.0,-0.07619999999999999,15.12,-10.24,-0.395,0.1827,4.484777314427105,4.234999999999999,0.6304490840241049,30.0,0.18,-3.9996000000000005,19.61,-19.61,-4.205,-0.9874,12.176229951836486,23.515,0.2646717709388342,31.0,0.3,1.0
11.327,19.61,-4.55,12.530000000000001,-0.4114,6.679961751387504,7.662500000000003,-0.6962005892544653,8.0,0.0,-0.17060000000000003,15.12,-10.24,-0.41,-0.14120000000000008,4.768581092945783,5.1075,0.606643247899078,29.0,0.36,-3.8226,19.61,-19.61,-4.205,0.3894,12.43014864110643,22.7325,0.30384829562223536,34.0,0.4,1.0
11.890800000000002,19.61,-4.55,13.0,-0.25230000000000014,6.10273605524604,6.547499999999999,-0.9342745819060931,6.0,0.0,-0.4541999999999999,15.12,-17.25,-0.9650000000000001,0.07209999999999989,5.837723217145534,5.3825,0.23750414776787604,26.0,0.22,-3.278,19.61,-19.61,-3.8449999999999998,0.5785,12.363123877078964,20.7375,0.2781488401976659,35.0,0.38,1.0
13.1976,19.61,-2.89,13.6,-0.0920000000000001,5.187180953080392,6.927499999999998,-0.7784911679253512,2.0,0.0,0.2966000000000001,19.61,-17.25,-0.29,0.17549999999999996,6.685055455267368,7.02,0.3666383327284114,30.0,0.22,-2.7451999999999996,19.61,-19.61,-3.8449999999999998,-0.07670000000000002,13.731558140284008,22.667499999999997,0.27243058919846047,36.0,0.4,1.0
13.459399999999999,19.61,2.21,13.485,-0.16599999999999995,4.886447548065977,7.844999999999999,-0.39408842016102247,0.0,0.0,0.855,19.61,-17.25,-0.8,-0.3788000000000001,7.409162503279301,7.3825,0.6236869243165415,31.0,0.22,-2.8352,19.61,-19.61,-2.015,-0.26269999999999993,13.211168341974904,20.4575,0.23652058592790068,35.0,0.4,1.0
13.29,19.61,2.21,13.440000000000001,-0.2956000000000001,4.9426312830313375,7.999999999999998,-0.2890475402985603,0.0,0.0,0.9782,19.61,-17.25,-0.5700000000000001,0.1448999999999999,7.230737635953886,6.4275,0.610693679628416,31.0,0.36,-3.2714,19.61,-19.61,-2.015,0.5277999999999998,12.533793840653354,20.875,0.17747322102222374,35.0,0.4,1.0
13.316399999999998,19.61,2.55,13.445,0.12629999999999997,5.243562437885144,9.747499999999999,-0.2690424197902641,0.0,0.0,0.8201999999999999,19.61,-17.25,-0.365,-0.07060000000000011,7.080640222465763,5.3825,0.7116825798028992,30.0,0.24,-3.8678,19.61,-19.61,-4.140000000000001,0.04289999999999963,12.308763266876165,21.625,0.2355558569401438,34.0,0.34,1.0
12.657800000000002,19.61,2.15,13.09,-0.42480000000000007,5.536984121342592,12.534999999999998,-0.15991319588199734,0.0,0.0,1.2067999999999999,19.61,-19.61,-0.12499999999999999,0.13450000000000015,7.088196227532079,5.4475,0.48406375581774397,29.0,0.36,-3.7629999999999995,19.61,-19.61,-3.305,1.4623000000000002,12.232898470926665,21.862499999999997,0.23757425034397198,31.0,0.34,1.0
12.429999999999998,19.61,-0.66,12.594999999999999,0.1861,6.01942621850289,13.1625,-0.2513122993404011,2.0,0.0,1.6742,19.61,-19.61,-0.12499999999999999,0.4926000000000002,6.857870249574572,5.4075,0.4378836509132251,27.0,0.34,-4.599600000000001,19.61,-19.61,-5.07,-0.6918999999999998,11.757635809974726,21.629999999999995,0.2966537963450231,32.0,0.34,1.0
